Case ID,Activity,Complete Timestamp,amount,article,dismissal,expense,lastSent,matricola,notificationType,org:resource,paymentAmount,points,totalPaymentAmount,vehicleClass,Label
A10249,Create Fine,2007-03-14,36.0,157.0,NIL,,,,,559.0,,0.0,0.0,A,0
A10249,Send Fine,2007-07-17,,,,22.0,,,,,,,,,0
A10249,Insert Fine Notification,2007-07-25,,,,,P,,P,,,,,,0
A10249,Add penalty,2007-09-23,74.0,,,,,,,,,,,,0
A10249,Insert Date Appeal to Prefecture,2007-11-02,,,,,,,,,,,,,0
A10249,Send Appeal to Prefecture,2007-12-28,,,NIL,,,,,,,,,,0
A10249,Receive Result Appeal from Prefecture,2008-01-22,,,,,,,,,,,,,0
A10249,Notify Result Appeal to Offender,2008-01-25,,,,,,,,,,,,,0
A10338,Create Fine,2007-03-18,36.0,157.0,NIL,,,,,561.0,,0.0,0.0,A,0
A10338,Send Fine,2007-07-17,,,,22.0,,,,,,,,,0
A10338,Insert Fine Notification,2007-07-25,,,,,P,,P,,,,,,0
A10338,Add penalty,2007-09-23,74.0,,,,,,,,,,,,0
A10338,Insert Date Appeal to Prefecture,2007-10-05,,,,,,,,,,,,,0
A10338,Send Appeal to Prefecture,2007-10-12,,,NIL,,,,,,,,,,0
A10338,Receive Result Appeal from Prefecture,2007-10-23,,,,,,,,,,,,,0
A10338,Notify Result Appeal to Offender,2007-10-31,,,,,,,,,,,,,0
A10619,Create Fine,2007-03-13,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,0
A10619,Send Fine,2007-07-17,,,,22.0,,,,,,,,,0
A10619,Insert Fine Notification,2007-07-25,,,,,P,,P,,,,,,0
A10619,Insert Date Appeal to Prefecture,2007-09-21,,,,,,,,,,,,,0
A10619,Add penalty,2007-09-23,74.0,,,,,,,,,,,,0
A10619,Send Appeal to Prefecture,2007-10-30,,,NIL,,,,,,,,,,0
A10619,Receive Result Appeal from Prefecture,2007-11-12,,,,,,,,,,,,,0
A10619,Notify Result Appeal to Offender,2007-11-16,,,,,,,,,,,,,0
A10858,Create Fine,2007-03-25,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,0
A10858,Send Fine,2007-09-13,,,,26.0,,,,,,,,,0
A10858,Insert Fine Notification,2007-09-22,,,,,P,,P,,,,,,0
A10858,Insert Date Appeal to Prefecture,2007-11-20,,,,,,,,,,,,,0
A10858,Add penalty,2007-11-21,74.0,,,,,,,,,,,,0
A10858,Send Appeal to Prefecture,2008-01-08,,,NIL,,,,,,,,,,0
A10858,Receive Result Appeal from Prefecture,2008-05-28,,,,,,,,,,,,,0
A10858,Notify Result Appeal to Offender,2008-06-24,,,,,,,,,,,,,0
A12027,Create Fine,2007-05-01,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,0
A12027,Send Fine,2007-08-02,,,,22.0,,,,,,,,,0
A12027,Insert Fine Notification,2007-08-11,,,,,P,,P,,,,,,0
A12027,Add penalty,2007-10-10,74.0,,,,,,,,,,,,0
A12027,Insert Date Appeal to Prefecture,2007-10-30,,,,,,,,,,,,,0
A12027,Send Appeal to Prefecture,2007-12-07,,,NIL,,,,,,,,,,0
A12027,Receive Result Appeal from Prefecture,2008-01-21,,,,,,,,,,,,,0
A12027,Notify Result Appeal to Offender,2008-01-25,,,,,,,,,,,,,0
A12414,Create Fine,2007-05-12,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,0
A12414,Send Fine,2007-08-20,,,,22.0,,,,,,,,,0
A12414,Insert Fine Notification,2007-09-03,,,,,P,,P,,,,,,0
A12414,Insert Date Appeal to Prefecture,2007-10-22,,,,,,,,,,,,,0
A12414,Add penalty,2007-11-02,74.0,,,,,,,,,,,,0
A12414,Send Appeal to Prefecture,2007-12-07,,,NIL,,,,,,,,,,0
A12414,Receive Result Appeal from Prefecture,2007-12-18,,,,,,,,,,,,,0
A12414,Notify Result Appeal to Offender,2007-12-21,,,,,,,,,,,,,0
A13217,Create Fine,2007-06-04,36.0,157.0,NIL,,,,,537.0,,0.0,0.0,A,0
A13217,Send Fine,2007-08-20,,,,26.0,,,,,,,,,0
A13217,Insert Fine Notification,2007-08-29,,,,,P,,P,,,,,,0
A13217,Insert Date Appeal to Prefecture,2007-10-17,,,,,,,,,,,,,0
A13217,Add penalty,2007-10-28,74.0,,,,,,,,,,,,0
A13217,Send Appeal to Prefecture,2007-12-07,,,NIL,,,,,,,,,,0
A13217,Receive Result Appeal from Prefecture,2008-01-31,,,,,,,,,,,,,0
A13217,Notify Result Appeal to Offender,2008-02-05,,,,,,,,,,,,,0
